Apoornathayude Oru Pusthakam,Praveen Chandran,128,110.00
Ezhuthu Vayana Jeevitham,Vinu Abraham,112,85.00
Indian Kavitha,Satchidanandan,358,300.00
Hittukalude Katha,Beena Ranjini,263,210.00
Delhi Diary,V K N,143,110.00
Yathayatham,Vishnu Narayanan Namboodiri,112,90.00
Vayichu Theeratha Achan,Radhakrsihnan M G,94,75.00
Gurubrahmam,Yusuf Ali Kechery,71,60.00
Vijayapatham,Debashis Chatterjee,166,125.00
Shubayathra,S R Nair,118,90.00
Alanju Thirinjoru Jeevitham,Guy de Maupassant,125,100.00
Veyilil Oru Kaliyezhuthukaari,Sithara S,79,75.00
Ninnil Charunna Nerathu,Rekha K,93,90.00
Santhapthan,Sreekrishna Alanahalli,76,40.00
Plavu,K R Jayan,104,80.00
Karmayogi: E Sreedharante Jeevithakatha,M S Asokan,215,190.00
Thazhvarayude Sangeetham,"Lao Tzu
                            
                                            
                            ,                 
                                                      Shoukath",279,235.00
Idris: Velichathinte Kavalkkaran,"Anita Nair
                            
                                            
                            ,                 
                                                      Smitha Meenakshi",364,325.00
Marquezinte Nattilum Veettilum,Madhu S Nair,152,125.00
Pranayam Pole Yathrakal,Punathil Kunjabdulla,78,70.00
Anandathilekkoru Kavadam,Ajahn Brahm,239,190.00
Chanakya Neethisaram,"Arikkatt Kamakshikutti Amma
                            
                                            
                            ,                 
                                                      Chanakya",111,100.00
Jathi Vyavastha,Ram Manohar Lohia,158,125.00
Lionel Messi: Tharodayathinte  Katha,K V Anoop,126,100.00
Kaadine Chennu Thodumpol,N A Naseer,216,225.00
Celestial Plane,Thanuja S Bhattathiri,72,60.00
Grand Finale,Thanuja S Bhattathiri,151,115.00
Cinemanubhavam,Adoor Gopalakrishnan,110,95.00
Apachayathinte Adayalangal,Appukkuttan Vallikkunnu,208,160.00
Poornendumukhi,Ravi Menon,104,80.00
Hans Christian Andersen Kathakal,Hans Christian Andersen,200,125.00
Beagle Yathra,Charles Darvin,278,250.00
Aathmakatha Max Muller,Max Muller,174,110.00
Arunachal Nadodikadhakal,Sathyanarayanan Mundayoor,80,70.00
Padiyirangippoya Parvathiyum Mattu Kathakalum,Gracy,71,65.00
Sangeetha Yatrakal,Alankodu Leelakrishnan,119,90.00
Nagnapurushan,Desmond Morris,277,225.00
Kathayil Alpam Kavyam,Kavya Madhavan,112,100.00
Doctorum Paapiyum,Punathil Kunjabdulla,135,100.00
Snehavirunnum Mattu Kathakalum,C V Balakrishnan,127,100.00
Dilliyile Chumarukal,Uday Prakash,192,150.00
Sivena Sahanarthanam,Ashitha,104,80.00
Puthiya Theerangal,Benny P Nayarambalam,120,90.00
Ente Kavitha,Desamangalam Ramakrishnan,158,110.00
Nelson Mandela,K Radhakrishnan,143,110.00
Saudikalude Adimakal,Joy C Raphael,128,100.00
Oru Indian Pranayakatha,Iqbal Kuttippuram,128,100.00
Annayum Rasoolum,Santhosh Echikkanam,120,100.00
Ashani Sanket (Malayalam),Bibhutibhushan Bandopadhyay,136,100.00
Cancer Wardile Chiri,Innocent,127,130.00
Kunnumpuram Carnival,T P Venugopalan,95,75.00
Pulmettile Neela Shalabhangal,P Surendran,104,80.00
Vayal Theruv Theevandi,P Surendran,111,100.00
Gurudarsanam Samakaleena Jeevithathil,B Ashok,127,100.00
Muthassanum Muthassiyum Pakarnnu Thannathu,Many Authors,104,90.00
Vayanayude Varthamanam,V R Govindanunny,87,80.00
Meenukalude Aakasavum Paravakalude Bhoomiyum,Arshad Bathery,104,85.00
Spanish Masala,Benny P Nayarambalam,110,85.00
Kaazhchappaadukal,Muralee Thummarukudy,158,125.00
Vivarthanam,V K N,71,60.00
Njaninmel Kali,V K N,104,90.00
Kochuthresiayude Lokam,Kochuthresia,136,100.00
Pathradhiparude Vyasanam,V K N,158,150.00
Mathrubhumi Azhchapathippu Kathakal 2013,Many Authors,422,300.00
Bhagavad Gitakku Oramukham,Swami Nirmalanandagiri Maharaj,120,110.00
Swathantrya Samarathile Pennperuma,Swaminee Sreedharan,111,90.00
Gadgil Reportum Kerala Vikasanavum,T P Kunjikkannan,110,85.00
Matham Paurasthya Paschathya Rajyangalil,S Radhakrishnan,118,100.00
Cinemayude Yathrakal,Dr Biju,152,115.00
Rafeeq Ahammedinte Kavithakal,Rafeeq Ahammed,373,350.00
Nee Pokunnidam,Surab,110,85.00
Njan Malala (Mathrubhumi Edition),P S Rakesh,104,90.00
Chinese Pachakam (Mathrubhumi Edition),Raziya Latheef,152,125.00
Njan Hinduvanu,Asghar Wajahat,143,100.00
T A Shahidinte Thirakkathakal,T A Shahid,382,300.00
